"Members – Detailed Contract Expenditures Report – Beaulieu, Mario – Q2 2021"
Supplier,Description,Date,Total
"Duval-Laplante, Mathilde",Advertising,2020/04/30,250.00
AQDR-PDI,Advertising,2020/05/01,500.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/05/05,157.47
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/06/01,46.75
Antre-Jeunes de Mercier-Est,Advertising,2020/06/04,250.00
Vidéotron s.e.n.c,Cable and Internet Fees,2020/06/05,156.65
Walmart,"Office Supplies, Stationery and Accessories",2020/06/12,41.15
"Roy, Mathieu",Office Assistant,2020/06/15,1260.00
ADD TRONIQUE,Computer Equipment,2020/06/16,59.99
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/06/16,106.98
AQDR Pointe-de-l'île Montréal,Advertising,2020/06/17,500.00
Boucherie AAA,Gifts given as a matter of protocol,2020/06/17,100.00
2866-2120 QUEBEC INC.,"Householders ",2020/06/19,6475.90
Groupe Archambault Inc,"Printed Matter, Books, Newspapers and Subscriptions",2020/06/19,29.49
Addison,Photographic Equipment,2020/06/23,199.99
AFPAD,Advertising,2020/06/23,500.00
Centre des familles exceptionnelles,Advertising,2020/06/25,500.00
Centre des Femmes de Montréal-Est/Point-aux-Trembles,Advertising,2020/06/26,500.00
Métro Média,Advertising,2020/06/27,190.00
Métro Média,Advertising,2020/06/27,913.00
Images Polar,Advertising,2020/06/29,434.88
Costco,"Office Supplies, Stationery and Accessories",2020/06/30,103.03
Ikea,"Office Supplies, Stationery and Accessories",2020/06/30,251.64
"Tremblay, Pierre",Janitorial Services and Maintenance,2020/06/30,370.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,32.98
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,129.84
Bell Mobility – Bell Mobilité,Long Distance,2020/07/01,0.40
BERA marketing,Advertising,2020/07/01,250.00
L'aut'journal,Advertising,2020/07/01,560.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/07/01,46.75
ACPVPAT,Advertising,2020/07/08,500.00
Northern Micro Inc.,Computer Equipment – Small – Desktop/Personal/Portable/Keyboard,2020/07/09,4020.00
PC Suprême,Repair of Computer Equipment and Peripherals,2020/07/10,301.97
Métro Média,Advertising,2020/07/11,616.00
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,197.14
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,0.77
Baseball Tétreaultville,Advertising,2020/07/22,500.00
Canada Post – Postes Canada,Postage and Parcel Post,2020/07/27,270.86
Bureau en gros,Computer Software,2020/07/30,259.98
"Amis de la culture de la Pointe, Les",Advertising,2020/07/31,250.00
"Tremblay, Pierre",Janitorial Services and Maintenance,2020/07/31,370.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,129.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,30.00
Bell Mobility – Bell Mobilité,Long Distance,2020/08/01,22.28
HAMELIN CONSULTANTS ING,Office Rental and Related Fees,2020/08/01,2700.00
Rogers Wireless – Rogers sans-fil,Voice and Data Plan for Mobile Devices,2020/08/01,46.75
Version Image Plus Inc.,Advertising,2020/08/01,1908.00
Version Image Plus Inc.,Advertising,2020/08/01,1029.00
PASM,Advertising,2020/08/04,500.00
Walmart,"Office Supplies, Stationery and Accessories",2020/08/06,16.04
Vidéotron s.e.n.c,Cable and Internet Fees,2020/08/07,179.72
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/08/12,127.81
SSJB Richelieu/Yamaska,Gifts given as a matter of protocol,2020/08/19,545.00
Maison des Jeunes de Pointe-aux-Trembles,Advertising,2020/08/20,500.00
Walmart,Cleaning Products,2020/08/21,3.97
"Racine, Jean-Francois",Office Assistant,2020/08/24,2880.00
canadian tire,"Office Supplies, Stationery and Accessories",2020/08/25,59.99
"Tremblay, Pierre",Janitorial Services and Maintenance,2020/08/25,370.00
Bureau en gros,"Office Supplies, Stationery and Accessories",2020/08/28,201.41
Vidéotron s.e.n.c,Cable and Internet,2020/08/28,104.95
Dollar Max Depot,"Office Supplies, Stationery and Accessories",2020/08/30,8.34
Dollorama,"Office Supplies, Stationery and Accessories",2020/08/30,14.50
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,129.84
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,193.90
HAMELIN CONSULTANTS ING,Office Rental and Related Fees,2020/09/01,2700.00
Pierre Dagesse,Professional Communication Services,2020/09/04,500.00
Métro Média,Advertising,2020/09/05,549.88
Canada Post – Postes Canada,Postage and Parcel Post,2020/09/09,239.70
CNW Telbec,Professional Communication Services,2020/09/09,643.00
Musicothèque,Gifts given as a matter of protocol,2020/09/09,50.97
CNW Telbec,Professional Communication Services,2020/09/10,73.75
Corps de Cadets 2908 Beauvoir,Advertising,2020/09/11,500.00
Sanctuaire du Sacré-Coeur et de Saint-Padre-Pio,Advertising,2020/09/13,300.00
Bureau en gros,Voice Communication Equipment,2020/09/15,129.95
Corps de Cadets 2908 Beauvoir,Advertising,2020/09/15,500.00
"Roy, Mathieu",Office Assistant,2020/09/18,1680.00
Cordonerue Kim et Park JT,"Office Supplies, Stationery and Accessories",2020/09/20,55.58
"ACTION NATIONALE, L'","Printed Matter, Books, Newspapers and Subscriptions",2020/09/21,300.00
Costco,"Office Supplies, Stationery and Accessories",2020/09/22,46.94
Costco,Consumable Items for Constituency Offices (COVID19),2020/09/22,54.97
Home Depot,Consumable Items for Constituency Offices (COVID19),2020/09/22,235.72
"Racine, Jean-Francois",Office Assistant,2020/09/22,2120.00
Canada Post – Postes Canada,Courier Services,2020/09/23,7.21
Canada Post – Postes Canada,Courier Services,2020/09/23,6.06
Canada Post – Postes Canada,Courier Services,2020/09/23,5.40
Canada Post – Postes Canada,Courier Services,2020/09/23,5.14
Canada Post – Postes Canada,Courier Services,2020/09/23,5.24
Canada Post – Postes Canada,Courier Services,2020/09/23,7.50
Canada Post – Postes Canada,Courier Services,2020/09/23,7.18
Canada Post – Postes Canada,Courier Services,2020/09/23,7.70
Canada Post – Postes Canada,Courier Services,2020/09/23,7.18
Canada Post – Postes Canada,Courier Services,2020/09/23,6.03
Canada Post – Postes Canada,Courier Services,2020/09/23,5.14
HAMELIN CONSULTANTS ING,Office Rental and Related Fees,2020/10/01,2700.00
