"Members – Detailed Contract Expenditures Report – Kitchen, Robert – Q2 2021"
Supplier,Description,Date,Total
Rogers Inc.,Internet (COVID19),2020/03/10,74.99
Rogers Inc.,Internet (COVID19),2020/04/10,74.99
CIBC,Banking Fees and Cheque Orders,2020/04/30,14.50
"WORLD SPECTATOR, THE",Advertising,2020/05/04,225.00
Rogers Inc.,Internet (COVID19),2020/05/10,74.99
"WORLD SPECTATOR, THE",Advertising,2020/05/11,150.00
Pharmasave,Consumable Items for Constituency Offices (COVID19),2020/05/14,73.61
Costco,Consumable Items for Constituency Offices (COVID19),2020/05/17,31.77
SaskTel,Cable and Internet Fees,2020/05/19,308.13
Estevan Mercury,Advertising,2020/05/20,455.00
Walmart,Consumable Items for Constituency Offices (COVID19),2020/05/20,20.11
Shared Services Canada –  Services partagés Canada,Monthly Phone Service - Federal Government Departments,2020/05/25,1264.86
Shared Services Canada –  Services partagés Canada,Long Distance - Federal Government Departments,2020/05/25,19.08
Kendall's Supply Ltd,Consumable Items for Constituency Offices (COVID19),2020/05/26,13.74
CIBC,Banking Fees and Cheque Orders,2020/05/31,13.50
Estevan Mercury,Advertising,2020/05/31,180.00
"WORLD SPECTATOR, THE",Advertising,2020/06/01,225.00
HOUSE OF STATIONERY,"Office Supplies, Stationery and Accessories",2020/06/03,189.71
HOUSE OF STATIONERY,"Office Supplies, Stationery and Accessories",2020/06/05,13.94
Purolator,Courier Services,2020/06/05,7.32
"WORLD SPECTATOR, THE",Advertising,2020/06/08,225.00
Estevan Mercury,Advertising,2020/06/10,534.00
Rogers Inc.,Internet (COVID19),2020/06/10,74.99
Weyburn Review,"Householders ",2020/06/11,6120.00
Purolator,Courier Services,2020/06/12,7.44
YELLOW PAGES GROUP,Advertising,2020/06/13,164.80
Estevan Mercury,Advertising,2020/06/17,270.00
GRASSLANDS NEWS GROUP,Advertising,2020/06/17,200.00
Weyburn Review,Advertising,2020/06/17,183.76
Purolator,Courier Services,2020/06/19,7.12
Sasktel,Cable and Internet Fees,2020/06/19,300.80
"WORLD SPECTATOR, THE",Advertising,2020/06/19,290.00
101172441 Saskatchewan LTD.,Advertising,2020/06/22,78.00
Carlyle Observer,Advertising,2020/06/24,900.00
Estevan Mercury,Advertising,2020/06/24,150.00
Weyburn Review,Advertising,2020/06/24,412.76
Forum Media,Advertising,2020/06/25,168.00
GRASSLANDS NEWS GROUP,Advertising,2020/06/25,150.00
101172441 Saskatchewan LTD.,Advertising,2020/06/28,78.00
"WORLD SPECTATOR, THE",Advertising,2020/06/29,225.00
"WORLD SPECTATOR, THE",Advertising,2020/06/29,203.00
Estevan Mercury,Advertising,2020/06/30,180.00
Grand & Toy,"Office Supplies, Stationery and Accessories",2020/06/30,716.64
Weyburn Review,Advertising,2020/06/30,523.20
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/07/01,155.40
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/07/01,147.93
"Welsh Kitchen, The",Janitorial Services and Maintenance,2020/07/03,57.50
"COMPUTER MEDIA GROUP, THE",Other Chemical Products,2020/07/08,1205.40
HOUSE OF STATIONERY,"Office Supplies, Stationery and Accessories",2020/07/10,16.06
Rogers Inc.,Internet (COVID19),2020/07/10,74.99
Thompson-Pallister Bait Co LTD,Promotional Items,2020/07/10,1387.46
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/13,120.28
Estevan Mercury,Advertising,2020/07/15,276.00
Weyburn Review,Advertising,2020/07/15,77.84
Toshiba Tec Canada Business Solutions – Toshiba Tec Canada Solutions d'affaires,Photocopier Equipment (Copy Charge),2020/07/17,2.53
SaskTel,Cable and Internet Fees,2020/07/19,300.80
Estevan Mercury,Advertising,2020/07/29,150.00
Estevan Mercury,Advertising,2020/07/29,90.00
CIBC,Banking Fees and Cheque Orders,2020/07/31,32.00
Estevan Mercury,Advertising,2020/07/31,90.00
Golden West Broadcasting Ltd.,Advertising,2020/07/31,200.00
Golden West Broadcasting Ltd.,Advertising,2020/07/31,200.00
BARBER MOTORS (1963) LTD.,Office Rental and Related Fees,2020/08/01,540.00
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/08/01,155.40
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/08/01,161.31
KGZ HOLDINGS LTD,Office Rental and Related Fees,2020/08/01,725.00
PRICE PROPERTY MANAGEMENT INC.,Office Rental and Related Fees,2020/08/01,1050.00
Weyburn Review,Advertising,2020/08/04,194.50
Rogers Inc.,Internet (COVID19),2020/08/10,74.99
Weyburn Review,Advertising,2020/08/12,194.50
SaskTel,Cable and Internet Fees,2020/08/19,300.80
Estevan Mercury,Advertising,2020/08/26,100.00
Weyburn Review,Advertising,2020/08/26,229.00
Forum Media,Advertising,2020/08/27,125.00
BARBER MOTORS (1963) LTD.,Office Rental and Related Fees,2020/09/01,540.00
Bell Mobility – Bell Mobilité,Voice and data overage fees for mobile devices,2020/09/01,60.42
Bell Mobility – Bell Mobilité,Voice and Data Plan for Mobile Devices,2020/09/01,155.04
KGZ HOLDINGS LTD,Office Rental and Related Fees,2020/09/01,725.00
PRICE PROPERTY MANAGEMENT INC.,Office Rental and Related Fees,2020/09/01,1050.00
Canada Post – Postes Canada,Courier Services,2020/09/23,22.64
Canada Post – Postes Canada,Courier Services,2020/09/23,16.87
"Handley, Julia Reese",Research Consultants,2020/09/24,1000.00
BARBER MOTORS (1963) LTD.,Office Rental and Related Fees,2020/10/01,540.00
KGZ HOLDINGS LTD,Office Rental and Related Fees,2020/10/01,725.00
PRICE PROPERTY MANAGEMENT INC.,Office Rental and Related Fees,2020/10/01,1050.00
