"Members – Detailed Travel Expenditures Report – Zahid, Salma – Q2 2021"
Claim,Travel start date,Travel end date,Traveller Name,Traveller Type,Purpose of Travel,Dates,Departure,Destination,Transportation,Accommodations,Meals and Incidentals,Points Reg.,Points Spec.,Points U.S.A.,Total
T0202663,2020/04/30,2020/07/06,,,,,,,0.0000,158.9900,0.0000,0,0,0,158.9900
T0202663,2020/04/30,2020/07/06,"Zahid, Salma",Member,Secondary Residence,2020/06/07,Ottawa,Ottawa,,,,,,,
T0202663,2020/04/30,2020/07/06,"Zahid, Salma",Member,Secondary Residence,2020/06/01,Ottawa,Ottawa,,,,,,,
T0202663,2020/04/30,2020/07/06,"Zahid, Salma",Member,Secondary Residence,2020/04/30,Ottawa,Ottawa,,,,,,,
T0203570,2020/05/31,2020/08/06,,,,,,,0.0000,163.4600,0.0000,0,0,0,163.4600
T0203570,2020/05/31,2020/08/06,"Zahid, Salma",Member,Secondary Residence,2020/05/31,Ottawa,Ottawa,,,,,,,
T0203570,2020/05/31,2020/08/06,"Zahid, Salma",Member,Secondary Residence,2020/07/07,Ottawa,Ottawa,,,,,,,
T0203570,2020/05/31,2020/08/06,"Zahid, Salma",Member,Secondary Residence,2020/07/01,Ottawa,Ottawa,,,,,,,
T0202952,2020/06/16,2020/06/17,,,,,,,414.0400,0.0000,159.5100,1.0000,0,0,573.5500
T0202952,2020/06/16,2020/06/17,"Zahid, Salma",Member,To travel to/from constituency and Ottawa,2020/06/16,Scarborough,Ottawa,,,,,,,
T0202952,2020/06/16,2020/06/17,"Zahid, Salma",Member,To travel to/from constituency and Ottawa,2020/06/17,Ottawa,Scarborough,,,,,,,
T0204350,2020/06/30,2020/09/06,,,,,,,0.0000,183.7200,0.0000,0,0,0,183.7200
T0204350,2020/06/30,2020/09/06,"Zahid, Salma",Member,Secondary Residence,2020/08/07,Ottawa,Ottawa,,,,,,,
T0204350,2020/06/30,2020/09/06,"Zahid, Salma",Member,Secondary Residence,2020/06/30,Ottawa,Ottawa,,,,,,,
T0204350,2020/06/30,2020/09/06,"Zahid, Salma",Member,Secondary Residence,2020/08/01,Ottawa,Ottawa,,,,,,,
T0203412,2020/07/06,2020/07/08,,,,,,,398.5000,0.0000,239.1500,1.0000,0,0,637.6500
T0203412,2020/07/06,2020/07/08,"Zahid, Salma",Member,To travel to/from constituency and Ottawa,2020/07/06,Scarborough,Ottawa,,,,,,,
T0203412,2020/07/06,2020/07/08,"Zahid, Salma",Member,To travel to/from constituency and Ottawa,2020/07/08,Ottawa,Scarborough,,,,,,,
200430817,2020/08/01,2020/08/31,,,,,,,0.0000,1700.0000,0.0000,0,0,0,1700.0000
200430817,2020/08/01,2020/08/31,"Zahid, Salma",Member,Secondary Residence,2020/08/01,OTTAWA,OTTAWA,,,,,,,
T0204267,2020/08/09,2020/08/11,,,,,,,398.5000,0.0000,257.8100,1.0000,0,0,656.3100
T0204267,2020/08/09,2020/08/11,"Zahid, Salma",Member,To travel to/from constituency and Ottawa,2020/08/09,Scarborough,Ottawa,,,,,,,
T0204267,2020/08/09,2020/08/11,"Zahid, Salma",Member,To travel to/from constituency and Ottawa,2020/08/11,Ottawa,Scarborough,,,,,,,
200437298,2020/09/01,2020/09/30,,,,,,,0.0000,1700.0000,0.0000,0,0,0,1700.0000
200437298,2020/09/01,2020/09/30,"Zahid, Salma",Member,Secondary Residence,2020/09/01,OTTAWA,OTTAWA,,,,,,,
200442159,2020/10/01,2020/10/31,,,,,,,0.0000,1700.0000,0.0000,0,0,0,1700.0000
200442159,2020/10/01,2020/10/31,"Zahid, Salma",Member,Secondary Residence,2020/10/01,OTTAWA,OTTAWA,,,,,,,
